,date,today,total_vol,year_dbr,year_eps,year_ep,fcfy,deviation,beta,ep_score,fcfy_score,score,log_returns
2609,2024/10/22,68.4,9.31E+11,0.27,14.42,0.21,2456028,0.46,0.42,3.56,3.08,4.27,0.543
2618,2024/10/22,37.5,5.84E+11,0.65,4.94,0.13,3117319,0.3,0.41,2.08,3.41,4.11,0.387
1402,2024/10/22,36.85,66885491305,0.54,1.9,0.05,1890617,0.23,0.33,-0.32,2.46,2.35,0.302
2330,2024/10/22,1080.85,7.42E+12,0.36,40.01,0.04,1593161,0.33,1.3,-0.76,2.08,1.83,0.741
2603,2024/10/22,204,1.35E+12,0.36,52.24,0.26,259287,0.43,0.44,3.95,0.4,1.72,0.763
1445,2024/10/22,18.5,2510378362,0.14,7.29,0.39,16495,0.34,0.33,4.81,0.1,1.7,0.052
2520,2024/10/22,46.8,93730716561,0.57,10.04,0.22,331381,0.41,0.43,3.6,0.5,1.69,0.371
4938,2024/10/22,104,2.15E+11,0.6,6.81,0.06,1235578,0.27,0.52,0.1,1.63,1.67,0.373
2514,2024/10/22,22.15,7162738662,0.5,3.85,0.17,392358,0.34,0.43,3.16,0.57,1.62,0.353
2506,2024/10/22,10.55,6007044206,0.34,2.36,0.22,220620,0.39,0.33,3.68,0.36,1.58,0.189
